id,created_at,text
1421804906638364674,2021-08-01 12:08:00,"The easiest way to learn from mistakes is to read books.
The next option is to commit them yourselves."
1421746018429722627,2021-08-01 08:14:00,"Har ek friend zaroori NAHI hota hai.
Some friends should be kept far far away!

#FriendshipDay2021 "
1421745782483423235,2021-08-01 08:13:03,"Brilliant example of the power of “consumerism driven stock picking” and “not trying to time the market”

Works more often than not. "
1421723872395628548,2021-08-01 06:46:00,"The irony of leadership

True leaders delegate their tasks, trust their team and do not micromanage.
This reduces their need in day-to-day activities.

Their leadership reduces their own need."
1421679832362938377,2021-08-01 03:51:00,"Don't ever resent yourself if the decision you wanted to take, did not work out for you.

You listened to yourself.
That is rare."
1421390173783224321,2021-07-31 08:40:00,"Never mind the practicality of it. 
I love the audacity of it!

If this kid continues to defy the world this way, I predict big things. "
1421341352025944075,2021-07-31 05:26:00,"Do not try to impress them.
Try to help them understand."
1420995918191497218,2021-07-30 06:33:22,"Life lessons my childhood taught me

A thread..."
1420753143101415430,2021-07-29 14:28:40,"New podcast episode launched 



Please search for Woice on your favorite podcast platform. "
1420700053597941761,2021-07-29 10:57:42,"How do I switch careers?

If you’ve ever faced this question, my 3rd video on NextGen Career Series with  answers just that!

"
1420655892236668931,2021-07-29 08:02:13,"We were born to make mistakes. 
Not to fake perfection."
1420344455152816129,2021-07-28 11:24:41,"What a stunning display of persistence, despite all ups and downs.

Thank you  for being this force! "
1420301143360507910,2021-07-28 08:32:35,"To become learned, each day add something. 

To become enlightened, each day drop something. 

- Lao Tzu"
1420265694860484609,2021-07-28 06:11:43,The Olympics is throwing some sound financial advice 
1420229315375943684,2021-07-28 03:47:10,"Our feeling of inferiority doesn’t come from comparing oneself to others, but from one’s comparison with one’s ideal self. 

"
1419973759050473477,2021-07-27 10:51:40,"Just finished recording a video titled “Top purchases I made for my parents this year” and I am trembling!

They will now know the actual price of these products!"
1419888780878753795,2021-07-27 05:14:00,"Email subject lines are getting downright awesome, I say :))) "
1419863700370984962,2021-07-27 03:34:20,"To learn, read. 
To absorb, teach."
1419636928144502784,2021-07-26 12:33:13,"One who believes in himself has no need to convince others.

- Lao Tzu"
1419585193313136640,2021-07-26 09:07:39,"I predict we are less than 2 decades away before the first Olympic event featuring robots. 

And less than 5 decades before there is a robot-only Olympics equivalent, featuring countries and their natively built technologies. "
1419560908217454592,2021-07-26 07:31:09,When you tell your parents you have decided to invest in FDs 
1419553113766207488,2021-07-26 07:00:11,"It is not our life experiences that shape us. 

Instead our view of what these experiences did to us, that shapes us!"
1419511796633939971,2021-07-26 04:16:00,"There is nothing wrong with thinking. 

But if it prevents you from action, then there is nothing right with that thinking."
1419311224991277056,2021-07-25 14:59:00,"The most fundamental relationship rule

If you HAVE to become someone else to be loved by that person, reconsider that person, not yourself!"
1419261374916567045,2021-07-25 11:40:55,"3 habits to build confidence

1. Mock interviews
Not just when you are seeking a job. All the time. Rehearse uncomfortable questions

2. Approach strangers 
For small favors (charger, make a call, ask for time, ask for directions) 

3. Send cold emails 
For internships and jobs"
1419154199632236546,2021-07-25 04:35:02,"Share the first photo/video in your phone, of a non human living thing. "
1418930133751140352,2021-07-24 13:44:40,"You think you have arrived if there is a bot account for your tweets, or a meme account or a troll account?

NO!

You have arrived when someone uses your pic as their matrimonial pic! 

Aaj Maa kitni khush hogi :)) "
1418859543501709316,2021-07-24 09:04:10,"Doing nothing is better than being busy doing nothing.

- Lao Tzu"
1418822900568657920,2021-07-24 06:38:34,The sooner you learn how to manage your emotions with respect to money - the better you will manage your money.
1418457616955559939,2021-07-23 06:27:04,"The stories in our head

A thread..."
1418155754708627457,2021-07-22 10:27:34,"Part 2 of the 5 part series in association with  - on careers, is out now. 

In this episode, we talk about Top 5 skills for the next 5 years. 

PS: They aren’t the skills you’re thinking about :)

"
1418077459312824325,2021-07-22 05:16:27,"At 29, I was jobless, with no money, recently married, confused, clueless.
Had no idea where I will be in life.

To all those who think they haven't done anything in life, and have wasted so much time...

It is not about the years gone by. 
It is about the years still left!"
1417873522982998019,2021-07-21 15:46:05,"The dichotomy of life

When you are certain of your capabilities, others success encourages you. 

When you confused and clueless, it discourages."
1417820590728114176,2021-07-21 12:15:45,"The biggest tragedy of life is doing what you DO NOT want to do, in the hope that tomorrow you will be able to do what you want to do!"
1417731562573950978,2021-07-21 06:21:59,"Care about what other people think and you will always be their prisoner.

- Lao Tzu"
1417699176385679361,2021-07-21 04:13:17,This one felt so apt in the midst of all hiring freebies noise :)) 
1417463615020359686,2021-07-20 12:37:15,"""I am like this only"" 
This used to be my favorite statement while growing up.
Up until I was 24!

Everything changed, when I realized how limiting this mindset is!"
1417388184619520001,2021-07-20 07:37:31,"I figured what worked for me in my 20s, despite massive hiccups and confusion.

I was constantly taking decisions for the short term
But making sure the decisions didn't tie me down in the long term

Basically giving my decisions the space they needed."
